fecha,producto,unidades,precio
2026-06-01,Ratón inalámbrico,1,29.99
2026-06-01,Micrófono USB,1,79.99
2026-06-01,Teclado mecánico RGB,2,89.99
2026-06-01,Soporte monitor,2,44.99
2026-06-01,Cable HDMI 2.1,1,14.99
2026-06-01,SSD 2TB,1,179.99
2026-06-01,Ratón Gaming RGB,1,39.95
2026-06-01,Dock USB-C,1,89.99
2026-06-01,Cable HDMI 2.1,1,14.99
2026-06-01,Soporte portátil,2,29.99
2026-06-01,SSD 2TB,1,179.99
2026-06-01,Cable DisplayPort,1,16.99
2026-06-01,Tarjeta SD 128GB,1,29.99
2026-06-02,Teclado compacto,1,49.99
2026-06-02,Auriculares Bluetooth,1,89.99
2026-06-02,Webcam Full HD,3,59.99
2026-06-02,Auriculares Bluetooth,1,89.99
2026-06-02,SSD 1TB,1,99.99
2026-06-02,Tarjeta SD 128GB,1,29.99
2026-06-02,Micrófono USB,2,79.99
2026-06-02,Lámpara LED,1,39.99
2026-06-02,Ratón inalámbrico,3,29.99
2026-06-02,SSD 1TB,1,99.99
2026-06-02,Auriculares Gaming,2,69.99
2026-06-02,Alfombrilla XL,2,24.99
2026-06-02,SSD 500GB,1,59.99
2026-06-02,Silla Gaming,1,249.99
2026-06-03,Webcam 4K,2,119.99
2026-06-03,Ratón Gaming RGB,2,39.95
2026-06-03,Tarjeta SD 128GB,1,29.99
2026-06-03,Micrófono USB,1,79.99
2026-06-03,Adaptador USB-C,1,17.99
2026-06-03,SSD 500GB,1,59.99
2026-06-03,Soporte monitor,1,44.99
2026-06-03,Router WiFi 6,1,139.99
2026-06-03,Ratón Gaming RGB,1,39.95
2026-06-03,Teclado compacto,1,49.99
2026-06-03,Webcam 4K,1,119.99
2026-06-03,SSD 1TB,1,99.99
2026-06-03,Router WiFi 6,1,139.99
2026-06-04,Webcam 4K,1,119.99
2026-06-04,Adaptador USB-C,2,17.99
2026-06-04,Monitor 24 IPS,1,169.99
2026-06-04,Monitor 24 IPS,2,169.99
2026-06-04,SSD 1TB,1,99.99
2026-06-04,Webcam Full HD,3,59.99
2026-06-04,Cable DisplayPort,2,16.99
2026-06-04,Auriculares Bluetooth,1,89.99
2026-06-04,Hub USB-C,1,34.99
2026-06-04,Router WiFi 6,1,139.99
2026-06-04,Teclado mecánico RGB,1,89.99
2026-06-04,Webcam 4K,2,119.99
2026-06-05,Lámpara LED,1,39.99
2026-06-05,Brazo monitor,1,69.99
2026-06-05,SSD 500GB,1,59.99
2026-06-05,Teclado mecánico RGB,1,89.99
2026-06-05,Ratón Gaming RGB,2,39.95
2026-06-05,Tarjeta SD 128GB,1,29.99
2026-06-05,Soporte portátil,1,29.99
2026-06-05,Soporte monitor,1,44.99
2026-06-05,Ratón Gaming RGB,1,39.95
2026-06-05,Alfombrilla XL,4,24.99
2026-06-05,Dock USB-C,1,89.99
2026-06-05,Cable HDMI 2.1,2,14.99
2026-06-05,Monitor 27 IPS,1,229.99
2026-06-05,Ratón inalámbrico,1,29.99
2026-06-05,Cable HDMI 2.1,2,14.99
2026-06-05,Memoria USB 128GB,1,19.99
2026-06-05,Ratón inalámbrico,1,29.99
2026-06-06,Monitor 27 IPS,3,229.99
2026-06-06,Brazo monitor,2,69.99
2026-06-06,Dock USB-C,2,89.99
2026-06-06,Dock USB-C,3,89.99
2026-06-06,Tarjeta SD 128GB,1,29.99
2026-06-06,Adaptador USB-C,1,17.99
2026-06-06,Alfombrilla XL,1,24.99
2026-06-06,SSD 500GB,2,59.99
2026-06-06,Cable HDMI 2.1,3,14.99
2026-06-06,Router WiFi 6,1,139.99
2026-06-06,Monitor 27 IPS,1,229.99
2026-06-06,Hub USB-C,1,34.99
2026-06-06,Router WiFi 6,1,139.99
2026-06-06,Adaptador USB-C,2,17.99
2026-06-06,Webcam 4K,1,119.99
2026-06-07,Ratón Gaming RGB,2,39.95
2026-06-07,Adaptador USB-C,1,17.99
2026-06-07,Memoria USB 128GB,1,19.99
2026-06-07,Teclado mecánico RGB,1,89.99
2026-06-07,Hub USB-C,3,34.99
2026-06-07,Teclado compacto,1,49.99
2026-06-07,Tarjeta SD 128GB,1,29.99
2026-06-07,Webcam Full HD,3,59.99
2026-06-07,Memoria USB 128GB,2,19.99
2026-06-07,Webcam Full HD,2,59.99
2026-06-07,SSD 1TB,4,99.99
2026-06-07,Soporte portátil,1,29.99
2026-06-07,Brazo monitor,1,69.99
2026-06-07,Ratón inalámbrico,1,29.99
2026-06-07,Ratón Gaming RGB,1,39.95
2026-06-08,Cable HDMI 2.1,1,14.99
2026-06-08,Webcam 4K,1,119.99
2026-06-08,Silla Gaming,1,249.99
2026-06-08,Webcam 4K,1,119.99
2026-06-08,Monitor 24 IPS,2,169.99
2026-06-08,Ratón Gaming RGB,1,39.95
2026-06-08,Micrófono USB,1,79.99
2026-06-08,Webcam Full HD,1,59.99
2026-06-08,Lámpara LED,3,39.99
2026-06-08,Cable DisplayPort,1,16.99
2026-06-08,Webcam 4K,2,119.99
2026-06-08,Altavoces 2.0,1,49.99
2026-06-09,Ratón inalámbrico,1,29.99
2026-06-09,SSD 500GB,1,59.99
2026-06-09,Disco duro externo 2TB,2,99.99
2026-06-09,Monitor 24 IPS,1,169.99
2026-06-09,Soporte portátil,1,29.99
2026-06-09,SSD 1TB,2,99.99
2026-06-09,Altavoces 2.0,2,49.99
2026-06-09,Webcam 4K,1,119.99
2026-06-10,Disco duro externo 2TB,1,99.99
2026-06-10,Teclado compacto,1,49.99
2026-06-10,Webcam 4K,2,119.99
2026-06-10,Ratón Gaming RGB,1,39.95
2026-06-10,Tarjeta SD 128GB,2,29.99
2026-06-10,Ratón inalámbrico,1,29.99
2026-06-10,Cable HDMI 2.1,2,14.99
2026-06-10,Ratón Gaming RGB,3,39.95
2026-06-10,Tarjeta SD 128GB,1,29.99
2026-06-10,SSD 2TB,1,179.99
2026-06-10,Webcam Full HD,2,59.99
2026-06-10,Brazo monitor,1,69.99
2026-06-11,Monitor 27 IPS,4,229.99
2026-06-11,Micrófono USB,3,79.99
2026-06-11,Altavoces 2.0,1,49.99
2026-06-11,SSD 2TB,1,179.99
2026-06-11,Lámpara LED,4,39.99
2026-06-11,Cable HDMI 2.1,1,14.99
2026-06-11,Hub USB-C,1,34.99
2026-06-11,Auriculares Gaming,1,69.99
2026-06-11,Monitor 24 IPS,1,169.99
2026-06-11,Cable HDMI 2.1,1,14.99
2026-06-11,Auriculares Bluetooth,1,89.99
2026-06-12,Dock USB-C,3,89.99
2026-06-12,Dock USB-C,1,89.99
2026-06-12,Dock USB-C,1,89.99
2026-06-12,Teclado compacto,1,49.99
2026-06-12,Ratón Gaming RGB,1,39.95
2026-06-12,Webcam 4K,1,119.99
2026-06-12,Brazo monitor,1,69.99
2026-06-12,Cable DisplayPort,1,16.99
2026-06-12,Alfombrilla XL,1,24.99
2026-06-12,Soporte monitor,1,44.99
2026-06-12,Dock USB-C,1,89.99
2026-06-12,Micrófono USB,1,79.99
2026-06-12,Silla Gaming,1,249.99
2026-06-12,Micrófono USB,1,79.99
2026-06-12,Soporte monitor,1,44.99
2026-06-12,Disco duro externo 2TB,1,99.99
2026-06-12,Memoria USB 128GB,3,19.99
2026-06-12,Monitor 27 IPS,1,229.99
2026-06-13,Ratón Gaming RGB,1,39.95
2026-06-13,Dock USB-C,1,89.99
2026-06-13,Router WiFi 6,1,139.99
2026-06-13,Ratón Gaming RGB,2,39.95
2026-06-13,SSD 500GB,1,59.99
2026-06-13,Disco duro externo 2TB,2,99.99
2026-06-13,Silla Gaming,1,249.99
2026-06-13,Altavoces 2.0,1,49.99
2026-06-13,Monitor 27 IPS,1,229.99
2026-06-13,Cable HDMI 2.1,1,14.99
2026-06-13,Soporte monitor,1,44.99
2026-06-13,Brazo monitor,1,69.99
2026-06-13,Ratón inalámbrico,2,29.99
2026-06-13,Lámpara LED,1,39.99
2026-06-13,Micrófono USB,1,79.99
2026-06-14,Webcam Full HD,1,59.99
2026-06-14,Tarjeta SD 128GB,1,29.99
2026-06-14,Hub USB-C,1,34.99
2026-06-14,Router WiFi 6,2,139.99
2026-06-14,Ratón Gaming RGB,1,39.95
2026-06-14,Adaptador USB-C,1,17.99
2026-06-14,Monitor 27 IPS,1,229.99
2026-06-14,Teclado mecánico RGB,1,89.99
2026-06-14,Micrófono USB,1,79.99
2026-06-14,Disco duro externo 2TB,1,99.99
2026-06-14,SSD 2TB,1,179.99
2026-06-14,Ratón inalámbrico,1,29.99
2026-06-14,Brazo monitor,1,69.99
2026-06-14,Teclado mecánico RGB,1,89.99
2026-06-15,SSD 500GB,1,59.99
2026-06-15,Teclado mecánico RGB,1,89.99
2026-06-15,Monitor 24 IPS,1,169.99
2026-06-15,Brazo monitor,3,69.99
2026-06-15,Tarjeta SD 128GB,1,29.99
2026-06-15,SSD 500GB,1,59.99
2026-06-15,Webcam 4K,1,119.99
2026-06-15,SSD 500GB,2,59.99
2026-06-15,Brazo monitor,2,69.99
2026-06-15,Alfombrilla XL,2,24.99
2026-06-15,Router WiFi 6,3,139.99
2026-06-15,Tarjeta SD 128GB,1,29.99
2026-06-15,Altavoces 2.0,2,49.99
2026-06-15,Brazo monitor,1,69.99
2026-06-16,Lámpara LED,3,39.99
2026-06-16,Altavoces 2.0,3,49.99
2026-06-16,Altavoces 2.0,1,49.99
2026-06-16,Lámpara LED,2,39.99
2026-06-16,Micrófono USB,1,79.99
2026-06-16,Silla Gaming,1,249.99
2026-06-16,Tarjeta SD 128GB,1,29.99
2026-06-16,Hub USB-C,1,34.99
2026-06-16,Adaptador USB-C,3,17.99
2026-06-17,Auriculares Gaming,2,69.99
2026-06-17,Tarjeta SD 128GB,1,29.99
2026-06-17,Monitor 27 IPS,1,229.99
2026-06-17,SSD 1TB,1,99.99
2026-06-17,Tarjeta SD 128GB,1,29.99
2026-06-17,Memoria USB 128GB,1,19.99
2026-06-17,Soporte portátil,1,29.99
2026-06-17,Soporte monitor,4,44.99
2026-06-17,Cable HDMI 2.1,1,14.99
2026-06-17,Monitor 27 IPS,1,229.99
2026-06-18,Teclado compacto,1,49.99
2026-06-18,Micrófono USB,1,79.99
2026-06-18,Alfombrilla XL,1,24.99
2026-06-18,Lámpara LED,2,39.99
2026-06-18,SSD 2TB,1,179.99
2026-06-18,Dock USB-C,1,89.99
2026-06-18,Brazo monitor,1,69.99
2026-06-18,Micrófono USB,1,79.99
2026-06-18,SSD 2TB,1,179.99
2026-06-18,Router WiFi 6,2,139.99
2026-06-19,SSD 500GB,1,59.99
2026-06-19,Soporte monitor,3,44.99
2026-06-19,Alfombrilla XL,1,24.99
2026-06-19,Tarjeta SD 128GB,1,29.99
2026-06-19,Brazo monitor,1,69.99
2026-06-19,Auriculares Gaming,1,69.99
2026-06-19,Auriculares Bluetooth,1,89.99
2026-06-19,Auriculares Gaming,1,69.99
2026-06-19,Webcam Full HD,1,59.99
2026-06-19,SSD 1TB,1,99.99
2026-06-19,Brazo monitor,1,69.99
2026-06-19,Cable DisplayPort,1,16.99
2026-06-19,Cable HDMI 2.1,2,14.99
2026-06-19,Auriculares Gaming,1,69.99
2026-06-19,SSD 2TB,2,179.99
2026-06-19,Alfombrilla XL,1,24.99
2026-06-19,Disco duro externo 2TB,1,99.99
2026-06-20,Dock USB-C,1,89.99
2026-06-20,Brazo monitor,3,69.99
2026-06-20,Lámpara LED,1,39.99
2026-06-20,Ratón Gaming RGB,1,39.95
2026-06-20,Soporte monitor,1,44.99
2026-06-20,Auriculares Bluetooth,1,89.99
2026-06-20,Memoria USB 128GB,1,19.99
2026-06-20,Auriculares Gaming,1,69.99
2026-06-20,Webcam Full HD,1,59.99
2026-06-20,Monitor 24 IPS,1,169.99
2026-06-20,Hub USB-C,1,34.99
2026-06-20,Memoria USB 128GB,1,19.99
2026-06-20,SSD 2TB,2,179.99
2026-06-20,Cable DisplayPort,1,16.99
2026-06-20,Silla Gaming,1,249.99
2026-06-20,SSD 1TB,1,99.99
2026-06-20,Soporte portátil,1,29.99
2026-06-21,Memoria USB 128GB,1,19.99
2026-06-21,Teclado compacto,2,49.99
2026-06-21,Silla Gaming,1,249.99
2026-06-21,Monitor 24 IPS,1,169.99
2026-06-21,Router WiFi 6,2,139.99
2026-06-21,Disco duro externo 2TB,1,99.99
2026-06-21,Disco duro externo 2TB,1,99.99
2026-06-21,Cable HDMI 2.1,1,14.99
2026-06-21,Memoria USB 128GB,2,19.99
2026-06-21,Alfombrilla XL,2,24.99
2026-06-21,Brazo monitor,1,69.99
2026-06-21,Adaptador USB-C,3,17.99
2026-06-21,Disco duro externo 2TB,2,99.99
2026-06-21,Lámpara LED,2,39.99
2026-06-21,Disco duro externo 2TB,1,99.99
2026-06-21,Webcam 4K,2,119.99
2026-06-21,Micrófono USB,2,79.99
2026-06-22,Hub USB-C,1,34.99
2026-06-22,Micrófono USB,1,79.99
2026-06-22,Silla Gaming,1,249.99
2026-06-22,Micrófono USB,1,79.99
2026-06-22,Brazo monitor,1,69.99
2026-06-22,Teclado mecánico RGB,1,89.99
2026-06-22,SSD 1TB,1,99.99
2026-06-22,Silla Gaming,1,249.99
2026-06-22,SSD 2TB,1,179.99
2026-06-22,Cable HDMI 2.1,1,14.99
2026-06-22,Monitor 24 IPS,1,169.99
2026-06-22,SSD 2TB,1,179.99
2026-06-23,Cable DisplayPort,3,16.99
2026-06-23,Monitor 27 IPS,2,229.99
2026-06-23,Memoria USB 128GB,1,19.99
2026-06-23,Hub USB-C,1,34.99
2026-06-23,SSD 500GB,1,59.99
2026-06-23,SSD 1TB,2,99.99
2026-06-23,Adaptador USB-C,1,17.99
2026-06-23,Lámpara LED,2,39.99
2026-06-23,Altavoces 2.0,1,49.99
2026-06-23,Webcam 4K,1,119.99
2026-06-23,Micrófono USB,1,79.99
2026-06-23,Monitor 27 IPS,1,229.99
2026-06-23,Soporte monitor,1,44.99
2026-06-23,SSD 1TB,2,99.99
2026-06-24,Disco duro externo 2TB,3,99.99
2026-06-24,Alfombrilla XL,1,24.99
2026-06-24,Router WiFi 6,1,139.99
2026-06-24,Cable DisplayPort,1,16.99
2026-06-24,Ratón Gaming RGB,1,39.95
2026-06-24,Teclado mecánico RGB,2,89.99
2026-06-24,Teclado compacto,1,49.99
2026-06-24,SSD 1TB,1,99.99
2026-06-24,Disco duro externo 2TB,1,99.99
2026-06-24,Memoria USB 128GB,2,19.99
2026-06-24,Micrófono USB,2,79.99
2026-06-24,Adaptador USB-C,1,17.99
2026-06-24,Adaptador USB-C,1,17.99
2026-06-24,Monitor 27 IPS,2,229.99
2026-06-25,SSD 500GB,1,59.99
2026-06-25,Ratón Gaming RGB,2,39.95
2026-06-25,Soporte portátil,1,29.99
2026-06-25,Monitor 27 IPS,3,229.99
2026-06-25,Webcam Full HD,2,59.99
2026-06-25,Alfombrilla XL,1,24.99
2026-06-25,Teclado mecánico RGB,1,89.99
2026-06-25,Ratón inalámbrico,1,29.99
2026-06-26,Silla Gaming,1,249.99
2026-06-26,SSD 500GB,1,59.99
2026-06-26,Alfombrilla XL,3,24.99
2026-06-26,Silla Gaming,1,249.99
2026-06-26,Adaptador USB-C,1,17.99
2026-06-26,Auriculares Gaming,1,69.99
2026-06-26,Monitor 27 IPS,3,229.99
2026-06-26,Cable DisplayPort,1,16.99
2026-06-26,SSD 1TB,1,99.99
2026-06-26,Silla Gaming,1,249.99
2026-06-26,Cable DisplayPort,1,16.99
2026-06-26,Soporte portátil,1,29.99
2026-06-26,Silla Gaming,2,249.99
2026-06-26,Tarjeta SD 128GB,1,29.99
2026-06-26,Altavoces 2.0,1,49.99
2026-06-27,SSD 500GB,1,59.99
2026-06-27,Soporte monitor,1,44.99
2026-06-27,Dock USB-C,1,89.99
2026-06-27,Monitor 27 IPS,2,229.99
2026-06-27,Adaptador USB-C,1,17.99
2026-06-27,SSD 2TB,3,179.99
2026-06-27,Soporte portátil,2,29.99
2026-06-27,Disco duro externo 2TB,2,99.99
2026-06-27,SSD 2TB,1,179.99
2026-06-27,Dock USB-C,3,89.99
2026-06-27,Micrófono USB,1,79.99
2026-06-27,Router WiFi 6,1,139.99
2026-06-27,Hub USB-C,1,34.99
2026-06-27,Adaptador USB-C,2,17.99
2026-06-27,Micrófono USB,1,79.99
2026-06-28,Micrófono USB,2,79.99
2026-06-28,Webcam 4K,2,119.99
2026-06-28,Cable DisplayPort,1,16.99
2026-06-28,SSD 1TB,1,99.99
2026-06-28,Hub USB-C,2,34.99
2026-06-28,Teclado compacto,1,49.99
2026-06-28,SSD 500GB,2,59.99
2026-06-28,Auriculares Bluetooth,1,89.99
2026-06-28,Alfombrilla XL,2,24.99
2026-06-28,Micrófono USB,1,79.99
2026-06-28,Dock USB-C,3,89.99
2026-06-28,Ratón Gaming RGB,1,39.95
2026-06-29,Hub USB-C,1,34.99
2026-06-29,Webcam 4K,1,119.99
2026-06-29,Soporte portátil,2,29.99
2026-06-29,Disco duro externo 2TB,2,99.99
2026-06-29,Ratón Gaming RGB,1,39.95
2026-06-29,SSD 1TB,1,99.99
2026-06-29,Auriculares Gaming,1,69.99
2026-06-29,SSD 500GB,1,59.99
2026-06-29,Dock USB-C,1,89.99
2026-06-29,Lámpara LED,1,39.99
2026-06-29,SSD 500GB,2,59.99
2026-06-30,Auriculares Gaming,1,69.99
2026-06-30,Ratón inalámbrico,2,29.99
2026-06-30,Auriculares Bluetooth,1,89.99
2026-06-30,Cable HDMI 2.1,3,14.99
2026-06-30,Silla Gaming,1,249.99
2026-06-30,Webcam Full HD,2,59.99
2026-06-30,Micrófono USB,2,79.99
2026-06-30,Memoria USB 128GB,1,19.99
2026-06-30,Auriculares Gaming,4,69.99
2026-06-30,Adaptador USB-C,1,17.99
